region,date,precipitation_mm
AMZ02,01/07/1987,115.2525766
AMZ02,01/08/1987,129.9792283
AMZ02,01/09/1987,96.61547394
AMZ02,01/10/1987,54.18061292
AMZ02,01/11/1987,43.94678351
AMZ02,01/12/1987,103.6674534
AMZ02,01/01/1988,201.3818229
AMZ02,01/02/1988,223.2658311
AMZ02,01/03/1988,167.8318739
AMZ02,01/04/1988,216.4953359
AMZ02,01/05/1988,493.2817438
AMZ02,01/06/1988,320.4657696
AMZ02,01/07/1988,228.4689395
AMZ02,01/08/1988,126.281693
AMZ02,01/09/1988,102.7938359
AMZ02,01/10/1988,93.48119642
AMZ02,01/11/1988,124.7502381
AMZ02,01/12/1988,194.7552967
AMZ02,01/01/1989,276.7660413
AMZ02,01/02/1989,251.5051327
AMZ02,01/03/1989,369.6082119
AMZ02,01/04/1989,269.2100137
AMZ02,01/05/1989,435.768229
AMZ02,01/06/1989,280.2280421
AMZ02,01/07/1989,195.6537935
AMZ02,01/08/1989,79.93256884
AMZ02,01/09/1989,70.76314749
AMZ02,01/10/1989,114.4073106
AMZ02,01/11/1989,147.9642369
AMZ02,01/12/1989,170.1969114
AMZ02,01/01/1990,187.9808311
AMZ02,01/02/1990,248.8378686
AMZ02,01/03/1990,330.1439866
AMZ02,01/04/1990,310.8222633
AMZ02,01/05/1990,294.0178
AMZ02,01/06/1990,198.7701425
AMZ02,01/07/1990,176.0800874
AMZ02,01/08/1990,97.79536927
AMZ02,01/09/1990,68.11588817
AMZ02,01/10/1990,41.1798857
AMZ02,01/11/1990,84.5888631
AMZ02,01/12/1990,161.9614903
AMZ02,01/01/1991,246.2018068
AMZ02,01/02/1991,188.7586934
AMZ02,01/03/1991,293.6163601
AMZ02,01/04/1991,333.5099284
AMZ02,01/05/1991,289.0830779
AMZ02,01/06/1991,234.2957026
AMZ02,01/07/1991,165.9146531
AMZ02,01/08/1991,109.6076407
AMZ02,01/09/1991,51.59156465
AMZ02,01/10/1991,67.86757059
AMZ02,01/11/1991,27.26641277
AMZ02,01/12/1991,50.81090123
AMZ02,01/01/1992,62.85193567
AMZ02,01/02/1992,194.9725673
AMZ02,01/03/1992,286.3303262
AMZ02,01/04/1992,209.3829
AMZ02,01/05/1992,156.0784669
AMZ02,01/06/1992,91.5958261
AMZ02,01/07/1992,111.9306309
AMZ02,01/08/1992,119.5243027
AMZ02,01/09/1992,53.79914295
AMZ02,01/10/1992,44.19445332
AMZ02,01/11/1992,73.60232871
AMZ02,01/12/1992,120.2826461
AMZ02,01/01/1993,208.081536
AMZ02,01/02/1993,235.0876716
AMZ02,01/03/1993,335.4245266
AMZ02,01/04/1993,345.8031605
AMZ02,01/05/1993,229.1531181
AMZ02,01/06/1993,167.9430349
AMZ02,01/07/1993,145.4544532
AMZ02,01/08/1993,105.580502
AMZ02,01/09/1993,87.81595706
AMZ02,01/10/1993,99.23137512
AMZ02,01/11/1993,154.8852847
AMZ02,01/12/1993,116.7339638
AMZ02,01/01/1994,251.1171738
AMZ02,01/02/1994,263.8921291
AMZ02,01/03/1994,316.6023013
AMZ02,01/04/1994,338.0429612
AMZ02,01/05/1994,385.7583341
AMZ02,01/06/1994,229.3324218
AMZ02,01/07/1994,145.535227
AMZ02,01/08/1994,124.9287396
AMZ02,01/09/1994,84.4389731
AMZ02,01/10/1994,97.99387881
AMZ02,01/11/1994,96.68745079
AMZ02,01/12/1994,93.83750472
AMZ02,01/01/1995,104.2607364
AMZ02,01/02/1995,133.7139704
AMZ02,01/03/1995,281.0428691
AMZ02,01/04/1995,314.1202103
AMZ02,01/05/1995,364.9748361
AMZ02,01/06/1995,290.3214329
AMZ02,01/07/1995,144.9086425
AMZ02,01/08/1995,61.04107495
AMZ02,01/09/1995,61.09320091
AMZ02,01/10/1995,63.73040849
AMZ02,01/11/1995,164.087908
AMZ02,01/12/1995,171.7132407
AMZ02,01/01/1996,278.1166329
AMZ02,01/02/1996,296.489748
AMZ02,01/03/1996,331.7057005
AMZ02,01/04/1996,269.8664678
AMZ02,01/05/1996,413.3772276
AMZ02,01/06/1996,287.861789
AMZ02,01/07/1996,204.0967596
AMZ02,01/08/1996,109.7727768
AMZ02,01/09/1996,70.95632737
AMZ02,01/10/1996,78.30935109
AMZ02,01/11/1996,102.4230007
AMZ02,01/12/1996,82.3167695
AMZ02,01/01/1997,281.5013147
AMZ02,01/02/1997,256.9505797
AMZ02,01/03/1997,238.7214306
AMZ02,01/04/1997,257.6635624
AMZ02,01/05/1997,316.3310675
AMZ02,01/06/1997,109.3746078
AMZ02,01/07/1997,78.0585703
AMZ02,01/08/1997,88.12142427
AMZ02,01/09/1997,30.43684205
AMZ02,01/10/1997,34.41758854
AMZ02,01/11/1997,86.16536004
AMZ02,01/12/1997,46.37151806
AMZ02,01/01/1998,153.9141202
AMZ02,01/02/1998,176.1973486
AMZ02,01/03/1998,227.0249418
AMZ02,01/04/1998,338.4023195
AMZ02,01/05/1998,319.354401
AMZ02,01/06/1998,232.6023652
AMZ02,01/07/1998,168.2111916
AMZ02,01/08/1998,76.2540399
AMZ02,01/09/1998,91.30228557
AMZ02,01/10/1998,85.75419537
AMZ02,01/11/1998,128.9694139
AMZ02,01/12/1998,127.1155282
AMZ02,01/01/1999,334.4066697
AMZ02,01/02/1999,302.0325499
AMZ02,01/03/1999,387.217729
AMZ02,01/04/1999,363.854524
AMZ02,01/05/1999,372.534167
AMZ02,01/06/1999,251.7937794
AMZ02,01/07/1999,189.3453861
AMZ02,01/08/1999,143.175814
AMZ02,01/09/1999,113.6407043
AMZ02,01/10/1999,116.1862627
AMZ02,01/11/1999,107.124487
AMZ02,01/12/1999,112.6003707
AMZ02,01/01/2000,297.744315
AMZ02,01/02/2000,222.7573357
AMZ02,01/03/2000,412.1809767
AMZ02,01/04/2000,431.774514
AMZ02,01/05/2000,425.9956431
AMZ02,01/06/2000,180.5385269
AMZ02,01/07/2000,201.3663868
AMZ02,01/08/2000,95.52557287
AMZ02,01/09/2000,101.0646006
AMZ02,01/10/2000,92.95847177
AMZ02,01/11/2000,84.74858024
AMZ02,01/12/2000,70.95869438
AMZ02,01/01/2001,296.4913212
AMZ02,01/02/2001,191.3603793
AMZ02,01/03/2001,328.031024
AMZ02,01/04/2001,320.2509505
AMZ02,01/05/2001,320.297848
AMZ02,01/06/2001,277.7545844
AMZ02,01/07/2001,146.370875
AMZ02,01/08/2001,73.97003649
AMZ02,01/09/2001,101.998884
AMZ02,01/10/2001,59.05920727
AMZ02,01/11/2001,54.83854018
AMZ02,01/12/2001,80.74850912
AMZ02,01/01/2002,229.8732361
AMZ02,01/02/2002,203.5686004
AMZ02,01/03/2002,321.3219482
AMZ02,01/04/2002,425.0645957
AMZ02,01/05/2002,339.5695507
AMZ02,01/06/2002,231.7583226
AMZ02,01/07/2002,101.6504426
AMZ02,01/08/2002,69.61073923
AMZ02,01/09/2002,48.65866048
AMZ02,01/10/2002,84.45488552
AMZ02,01/11/2002,88.3137635
AMZ02,01/12/2002,124.1258107
AMZ02,01/01/2003,76.73503318
AMZ02,01/02/2003,208.7832275
AMZ02,01/03/2003,239.6483674
AMZ02,01/04/2003,370.6153581
AMZ02,01/05/2003,360.7616702
AMZ02,01/06/2003,232.6716669
AMZ02,01/07/2003,179.5474776
AMZ02,01/08/2003,133.7876001
AMZ02,01/09/2003,126.5476701
AMZ02,01/10/2003,71.09416984
AMZ02,01/11/2003,99.29830343
AMZ02,01/12/2003,69.26203511
AMZ02,01/01/2004,138.6364665
AMZ02,01/02/2004,278.3363666
AMZ02,01/03/2004,369.2513955
AMZ02,01/04/2004,357.983001
AMZ02,01/05/2004,354.1224696
AMZ02,01/06/2004,169.6783314
AMZ02,01/07/2004,145.1400398
AMZ02,01/08/2004,114.3423566
AMZ02,01/09/2004,102.5380781
AMZ02,01/10/2004,103.4568822
AMZ02,01/11/2004,42.86849419
AMZ02,01/12/2004,106.3114594
AMZ02,01/01/2005,217.0648783
AMZ02,01/02/2005,269.2788005
AMZ02,01/03/2005,422.2615832
AMZ02,01/04/2005,390.8202885
AMZ02,01/05/2005,351.3390415
AMZ02,01/06/2005,165.5597595
AMZ02,01/07/2005,198.3414738
AMZ02,01/08/2005,111.8566639
AMZ02,01/09/2005,64.16939235
AMZ02,01/10/2005,66.62084795
AMZ02,01/11/2005,97.53626035
AMZ02,01/12/2005,270.8191784
AMZ02,01/01/2006,280.3783915
AMZ02,01/02/2006,236.9865341
AMZ02,01/03/2006,290.5334296
AMZ02,01/04/2006,309.4378921
AMZ02,01/05/2006,477.1879325
AMZ02,01/06/2006,283.5387451
AMZ02,01/07/2006,189.2403642
AMZ02,01/08/2006,83.29921536
AMZ02,01/09/2006,67.98584198
AMZ02,01/10/2006,57.94664521
AMZ02,01/11/2006,148.8021037
AMZ02,01/12/2006,70.43191474
AMZ02,01/01/2007,154.761569
AMZ02,01/02/2007,131.9331884
AMZ02,01/03/2007,396.9411199
AMZ02,01/04/2007,398.2811177
AMZ02,01/05/2007,447.674598
AMZ02,01/06/2007,204.3590808
AMZ02,01/07/2007,169.5599963
AMZ02,01/08/2007,135.5701034
AMZ02,01/09/2007,119.7528122
AMZ02,01/10/2007,95.56131353
AMZ02,01/11/2007,80.24323111
AMZ02,01/12/2007,198.355555
AMZ02,01/01/2008,199.6632866
AMZ02,01/02/2008,259.4952344
AMZ02,01/03/2008,354.829253
AMZ02,01/04/2008,317.5503034
AMZ02,01/05/2008,417.1168001
AMZ02,01/06/2008,269.4137814
AMZ02,01/07/2008,183.4458066
AMZ02,01/08/2008,131.6634603
AMZ02,01/09/2008,111.5995807
AMZ02,01/10/2008,97.71319857
AMZ02,01/11/2008,110.8769981
AMZ02,01/12/2008,257.0116054
AMZ02,01/01/2009,288.0567118
AMZ02,01/02/2009,318.8046576
AMZ02,01/03/2009,438.5233405
AMZ02,01/04/2009,260.9685986
AMZ02,01/05/2009,298.6905164
