region,date,TWSrec_mm
AMZ02,15/12/1999,189.1112838
AMZ02,15/01/2000,230.735487
AMZ02,15/02/2000,250.5789906
AMZ02,15/03/2000,269.8544074
AMZ02,15/04/2000,316.9428496
AMZ02,15/05/2000,371.2647135
AMZ02,15/06/2000,351.4208151
AMZ02,15/07/2000,344.610276
AMZ02,15/08/2000,354.2183941
AMZ02,15/09/2000,322.639673
AMZ02,15/10/2000,330.9906606
AMZ02,15/11/2000,293.2320482
AMZ02,15/12/2000,246.0985315
AMZ02,15/01/2001,240.0608438
AMZ02,15/02/2001,238.3479761
AMZ02,15/03/2001,201.7897028
AMZ02,15/04/2001,209.7187148
AMZ02,15/05/2001,187.6334692
AMZ02,15/06/2001,194.6511555
AMZ02,15/07/2001,210.6504506
AMZ02,15/08/2001,207.0364505
AMZ02,15/09/2001,204.6872535
AMZ02,15/10/2001,172.0875296
AMZ02,15/11/2001,134.2944502
AMZ02,15/12/2001,100.9598444
AMZ02,15/01/2002,73.87289575
AMZ02,15/02/2002,52.69671853
AMZ02,15/03/2002,70.5363633
AMZ02,15/04/2002,109.9605276
AMZ02,15/05/2002,99.02914645
AMZ02,15/06/2002,126.9754679
AMZ02,15/07/2002,113.6296119
AMZ02,15/08/2002,91.91192503
AMZ02,15/09/2002,52.88109191
AMZ02,15/10/2002,5.552760433
AMZ02,15/11/2002,19.6450612
AMZ02,15/12/2002,12.12941945
AMZ02,15/01/2003,-58.91827572
AMZ02,15/02/2003,-111.0476023
AMZ02,15/03/2003,-147.3428803
AMZ02,15/04/2003,-136.5364524
AMZ02,15/05/2003,-85.34483526
AMZ02,15/06/2003,-63.12179835
AMZ02,15/07/2003,-50.0233533
AMZ02,15/08/2003,-33.12968269
AMZ02,15/09/2003,10.09948405
AMZ02,15/10/2003,27.39963115
AMZ02,15/11/2003,36.25477539
AMZ02,15/12/2003,9.573787528
AMZ02,15/01/2004,-9.421468041
AMZ02,15/02/2004,-62.7641557
AMZ02,15/03/2004,-2.088995582
AMZ02,15/04/2004,46.5325642
AMZ02,15/05/2004,86.85731305
AMZ02,15/06/2004,70.74527469
AMZ02,15/07/2004,65.82639514
AMZ02,15/08/2004,82.56268226
AMZ02,15/09/2004,106.6225531
AMZ02,15/10/2004,116.472937
AMZ02,15/11/2004,86.29188458
AMZ02,15/12/2004,38.73453472
AMZ02,15/01/2005,18.22667031
AMZ02,15/02/2005,69.40059759
AMZ02,15/03/2005,99.78479546
AMZ02,15/04/2005,121.1421611
AMZ02,15/05/2005,114.7802934
AMZ02,15/06/2005,65.0344258
AMZ02,15/07/2005,39.70727124
AMZ02,15/08/2005,32.26267504
AMZ02,15/09/2005,10.60077712
AMZ02,15/10/2005,-9.981169313
AMZ02,15/11/2005,-11.35518708
AMZ02,15/12/2005,61.87894959
AMZ02,15/01/2006,158.7015156
AMZ02,15/02/2006,201.7288046
AMZ02,15/03/2006,162.45801
AMZ02,15/04/2006,133.3435873
AMZ02,15/05/2006,187.9291461
AMZ02,15/06/2006,233.3523631
AMZ02,15/07/2006,223.759291
AMZ02,15/08/2006,206.8047245
AMZ02,15/09/2006,170.1574616
AMZ02,15/10/2006,130.6170379
AMZ02,15/11/2006,143.0458087
AMZ02,15/12/2006,143.9257711
AMZ02,15/01/2007,87.09728793
AMZ02,15/02/2007,-12.17072022
AMZ02,15/03/2007,-2.354891821
AMZ02,15/04/2007,55.09662684
AMZ02,15/05/2007,82.64922307
AMZ02,15/06/2007,88.07811391
AMZ02,15/07/2007,77.31646777
AMZ02,15/08/2007,82.5818197
AMZ02,15/09/2007,101.9591378
AMZ02,15/10/2007,126.7290928
AMZ02,15/11/2007,120.3387953
AMZ02,15/12/2007,164.0175591
AMZ02,15/01/2008,186.9738554
AMZ02,15/02/2008,167.076968
AMZ02,15/03/2008,166.0681601
AMZ02,15/04/2008,135.8059389
AMZ02,15/05/2008,159.5159372
AMZ02,15/06/2008,213.1850316
AMZ02,15/07/2008,216.1724471
AMZ02,15/08/2008,188.1850336
AMZ02,15/09/2008,186.3082223
AMZ02,15/10/2008,215.1883724
AMZ02,15/11/2008,213.3028309
AMZ02,15/12/2008,251.7763449
AMZ02,15/01/2009,286.9050192
AMZ02,15/02/2009,310.6047649
AMZ02,15/03/2009,335.6074784
AMZ02,15/04/2009,318.0028233
AMZ02,15/05/2009,204.3666279
AMZ02,15/06/2009,247.3927996
AMZ02,15/07/2009,242.090042
AMZ02,15/08/2009,177.0046741
AMZ02,15/09/2009,117.5851757
AMZ02,15/10/2009,75.7844934
AMZ02,15/11/2009,43.74277934
AMZ02,15/12/2009,4.304137812
AMZ02,15/01/2010,-29.40210142
AMZ02,15/02/2010,-75.75141563
AMZ02,15/03/2010,-145.2602985
AMZ02,15/04/2010,-74.41385071
AMZ02,15/05/2010,-37.75864868
AMZ02,15/06/2010,-31.35369778
AMZ02,15/07/2010,-25.10319305
AMZ02,15/08/2010,-6.30677662
AMZ02,15/09/2010,-4.02031519
AMZ02,15/10/2010,-16.82597439
